TIMESTAMP(ms),Heading_true(rad),Heading_est(rad),dR(m)
3491526,1.64971,1.58857,27
3492526,1.65155,1.59578,27
3493527,1.64443,1.59118,27.027
3494527,1.65316,1.58525,27
3495527,1.64315,1.59148,27
3496527,1.64313,1.58611,27
3497527,1.64291,1.58487,28
3498527,1.63848,1.58447,28
3499527,1.64277,1.57986,28
3500527,1.64345,1.58575,28
3501527,1.64436,1.58462,28
3502527,1.64446,1.58634,28
3503527,1.64512,1.58632,29
3504527,1.64657,1.58793,29
3505527,1.64833,1.58802,29
3506527,1.64863,1.59105,29
3507527,1.64768,1.58679,29
3508527,1.6439,1.5874,29
3509527,1.6487,1.58522,29
3510527,1.64922,1.59211,29
3511527,1.6468,1.59163,29
3512527,1.64464,1.58835,29
3513527,1.64145,1.58507,29
3514527,1.6423,1.58272,29
3515527,1.64172,1.58452,29
3516527,1.63717,1.58035,28
3517527,1.63989,1.57952,28
3518527,1.64219,1.58187,28
3519527,1.63819,1.58532,27
3520527,1.64823,1.58687,27
3521527,1.65409,1.59257,26
3522527,1.664,1.59334,25
3523527,1.68095,1.6066,23
3524527,1.70718,1.62371,22
3525527,1.73179,1.65099,22
3526527,1.75866,1.67637,21
3527527,1.81078,1.70485,20
3528527,1.87573,1.76298,20
3529527,1.94634,1.82922,21
3530527,2.00791,1.89835,21
3531527,2.07178,1.95887,21
3532527,2.12426,2.02113,22
3533527,2.16091,2.07305,22
3534527,2.20281,2.10774,23
3535527,2.24162,2.15013,24
3536527,2.28633,2.18788,24
3537527,2.32755,2.23544,25
3538527,2.34946,2.27204,25
3539527,2.3656,2.29161,26
3540527,2.37465,2.30623,26
3541527,2.38211,2.31436,27
3542527,2.38635,2.32042,27
3543527,2.38735,2.3246,28
3544527,2.39063,2.32484,28
3545527,2.39462,2.33107,28
3546527,2.39839,2.33446,29
3547527,2.40249,2.34048,29
3548527,2.40033,2.34133,30
3549527,2.3985,2.33791,29
3550527,2.39843,2.33796,29
3551527,2.40041,2.33926,28
3552527,2.40127,2.33955,28
3553527,2.40131,2.34143,28
3554527,2.39905,2.33981,27
3555527,2.39646,2.33785,27
3556527,2.40445,2.33624,27
3557527,2.40829,2.34507,27
3558527,2.40897,2.34728,27
3559527,2.40641,2.34886,27
3560527,2.40353,2.34479,27
3561527,2.39455,2.34043,27
3562527,2.3975,2.33445,27
3563527,2.40139,2.33775,27
3564527,2.40008,2.34043,27
3565527,2.39575,2.3383,27
3566527,2.3914,2.33569,27
3567527,2.38491,2.32941,26
3568527,2.37814,2.32324,26
3569527,2.36739,2.31567,26
